,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Final Region,p1_z,p2_z,p3_z,rating
12,BC Lara ,1990,299,289,32,10405,169,40,13086,79,19,63,16,WI,3.591244462256262,2.5446428571428577,37.37112929565716,4.518765785619955
9,R Dravid ,1996,344,318,40,10889,153,39,15284,71,12,83,13,INDIA,4.707144755158474,2.11734693877551,35.14903388698127,4.459795649345881
30,Shahid Afridi ,1996,398,369,27,8064,124,23,6892,117,6,39,30,PAK,1.4488566201062534,0.4974489795918368,42.894679452917586,4.347619350282063
19,RG Sharma ,2007,221,214,32,8944,264,49,10063,88,28,43,13,INDIA,2.497514575719284,2.5595238095238093,35.783392206754876,4.1681732513228855
27,V Sehwag ,1999,251,245,9,8273,219,35,7929,104,15,38,14,INDIA,1.5973065362629564,1.211734693877551,39.11680810339365,4.1225205472842505
14,Mohammad Yousuf ,1998,288,273,40,9720,141,41,12942,75,15,64,15,PAK,3.506137524962221,2.040816326530612,33.143210428937,4.03729250830656
18,PA de Silva ,1984,308,296,30,9284,145,34,11443,81,11,64,17,SL,2.7499132171268914,1.4965986394557822,34.18906284691679,3.917442239198366
22,Yuvraj Singh ,2000,304,278,40,8701,150,36,9924,87,14,52,18,INDIA,2.49226192571283,1.547619047619048,34.415609647420766,3.8976162253750912
17,M Azharuddin ,1985,334,308,54,9378,153,36,12669,74,7,58,9,INDIA,3.496639573023293,0.8630952380952382,31.55069962659845,3.721712475657
26,LRPL Taylor ,2006,228,212,37,8376,181,47,10091,83,20,50,9,NZ,2.4786757577286305,2.1258503401360547,31.606893053333934,3.7137156036145633
20,Saeed Anwar ,1989,247,244,19,8824,194,39,10938,80,20,43,15,PAK,2.416013914139742,1.8282312925170068,32.09390275170811,3.705798978221094
28,HM Amla ,2008,181,178,14,8113,159,49,9178,88,27,39,4,SA,1.8637104332122565,2.2385204081632657,32.458705386113856,3.6941803078056425
25,ME Waugh ,1988,244,236,20,8500,173,39,11053,76,18,50,16,AUS,2.4116420548099393,1.9132653061224494,29.36970361741194,3.46240402903648
29,HH Gibbs ,1996,248,240,16,8094,175,36,9721,83,21,37,22,SA,1.9900876065437396,1.6517857142857142,30.542764132483864,3.4565869920999495
21,S Chanderpaul ,1994,268,251,40,8778,150,41,12408,70,11,59,6,WI,3.1272219146043274,1.3796768707482996,27.935771029032413,3.3873734731767287
37,EJG Morgan ,2006,233,217,32,7348,148,39,8053,91,13,46,15,ENG,1.6775369271784735,1.2712585034013604,30.400280152395677,3.331556279942942
32,MJ Clarke ,2003,245,223,44,7981,130,44,10104,78,8,58,10,AUS,2.497454808027186,0.9863945578231293,28.302119437312765,3.2488218350182647
23,DL Haynes ,1978,238,237,28,8648,152,41,13707,63,17,57,13,WI,3.0664537122616076,2.0599489795918373,24.769844278100376,3.1755858534532373
24,MS Atapattu ,1990,268,259,32,8529,132,37,12594,67,11,59,13,SL,2.8644317067735514,1.3796768707482996,25.980048830100205,3.1555709027356613
34,Shoaib Malik ,1999,287,258,40,7534,143,34,9199,81,9,44,15,PAK,2.0594315748057506,0.8418367346938777,27.74454970795682,3.0946370010403124
47,IVA Richards ,1975,187,167,24,6721,189,47,7451,90,11,45,7,WI,1.4996405097644478,1.052295918367347,27.500681147269827,2.9967553868676102
31,SP Fleming ,1994,280,269,21,8037,134,32,11242,71,8,49,17,NZ,2.3107851104294226,0.8333333333333335,25.942950257109793,2.9721032738082553
33,SR Waugh ,1986,325,288,58,7569,120,32,9971,75,3,45,15,AUS,2.3801016352827356,0.2869897959183674,25.80874071364446,2.8959576343176767
35,A Ranatunga ,1982,269,255,47,7456,131,35,9571,77,4,49,18,SL,2.066911837607516,0.4166666666666668,26.101392079256353,2.8829524033784786
48,MJ Guptill ,2009,179,176,19,6626,237,42,7586,87,16,35,15,NZ,1.3057015781267705,1.1904761904761905,26.20823233235375,2.859142897448312
41,GC Smith ,2002,197,194,10,6989,141,37,8648,80,10,47,8,SA,1.4438938756386648,0.9991496598639458,25.419796728432452,2.784496737260413
39,Saleem Malik ,1982,283,256,38,7170,102,32,9383,76,5,47,19,PAK,1.9494073577473217,0.4995748299319729,24.774208816099243,2.748630743943381
38,Younis Khan ,2000,265,255,23,7249,144,31,9628,75,7,48,22,PAK,1.8141095110253158,0.7142857142857144,24.717606213926373,2.7481513168801017
43,MG Bevan ,1994,232,196,67,6912,108,53,9320,74,6,46,5,AUS,2.6270331905189397,0.5867346938775512,23.25425845799195,2.7454583136700577
59,BB McCullum ,2002,260,228,28,6083,166,30,6312,96,5,32,20,NZ,1.1291452370941983,0.3401360544217688,26.54948464714058,2.738877112132047
42,WU Tharanga ,2005,235,223,17,6951,174,33,9155,75,15,37,17,SL,1.6276084798806751,1.1798469387755102,23.7014872110639,2.683618921753203
40,NJ Astle ,1995,223,217,14,7090,145,34,9760,72,16,41,19,NZ,1.6960689637757507,1.394557823129252,23.208430809003787,2.680436195591482
44,Tamim Iqbal ,2007,204,202,8,6892,154,35,8865,77,11,47,18,BDESH,1.4501222631485102,1.0990646258503403,24.12698420201647,2.678887315096563
36,Javed Miandad ,1975,233,218,41,7381,119,41,11014,67,8,50,8,PAK,2.412007821113622,0.8503401360544218,22.483144614253675,2.670184782726752
51,Ijaz Ahmed ,1986,250,232,29,6564,139,32,8174,80,10,37,14,PAK,1.499497536972488,0.7865646258503401,23.87402285383182,2.6206904978284395
53,Shakib Al Hasan ,2006,206,194,27,6323,134,37,7641,82,9,47,10,BDESH,1.3343433106332143,0.8992346938775511,23.572415092534744,2.5774454760398373
45,G Kirsten ,1993,185,185,19,6798,188,40,9436,72,13,45,11,SA,1.5989229806628769,1.2436224489795915,22.25259698725074,2.5518412698234916
63,JE Root ,2013,143,135,21,5856,133,51,6702,87,16,33,4,ENG,1.117441360020188,1.1224489795918366,23.162603160015625,2.529914050307384
49,Mohammad Hafeez ,2003,218,216,15,6614,140,32,8633,76,11,38,19,PAK,1.3801721224807804,0.8886054421768708,22.853084673595596,2.517318993177512
68,SR Watson ,2002,190,169,27,5757,185,40,6365,90,9,33,12,AUS,1.107852651439406,0.631377551020408,23.556229930788927,2.4960813746963586
46,A Flower ,1992,213,208,16,6786,145,35,9097,74,4,55,13,ZIM,1.5540461005430353,0.4676870748299321,22.83035270485147,2.488698784776317
73,S Dhawan ,2010,133,131,7,5518,143,44,5869,94,17,27,5,INDIA,0.7847882916914601,0.975765306122449,23.581780663657323,2.486366065476923
57,KS Williamson ,2010,149,142,14,6132,148,47,7494,81,13,39,5,NZ,1.2001487027546756,1.0778061224489797,22.581574038915743,2.4848316861531456
70,SK Raina ,2005,226,194,35,5615,116,35,6005,93,5,36,14,INDIA,1.088742990948814,0.3826530612244899,23.74104083667868,2.4749222635085983
54,BRM Taylor ,2004,193,192,15,6293,145,35,8256,76,10,38,15,ZIM,1.2773230675092937,0.8078231292517007,21.743946454632155,2.3831673744005957
58,Mushfiqur Rahim ,2006,216,202,34,6100,144,36,7718,79,7,37,10,BDESH,1.375331952432579,0.5505952380952381,21.909071475589496,2.3808599966948196
56,ML Hayden ,1993,161,155,15,6133,181,43,7767,78,10,36,9,AUS,1.2302788027461167,0.7653061224489798,21.74876563200591,2.368869967756833
74,F du Plessis ,2011,143,136,20,5507,185,47,6215,88,12,35,3,SA,0.9549686908464463,0.8928571428571428,22.03255152980759,2.361816051416386
65,AD Mathews ,2008,214,184,48,5812,139,42,6974,83,3,40,15,SL,1.4363908661189515,0.2551020408163266,21.931621588583667,2.352967500563502
52,AR Border ,1979,273,252,39,6524,127,30,9134,71,3,39,11,AUS,1.7159829325573441,0.2487244897959184,21.059077700309103,2.3227998396690976
62,JN Rhodes ,1992,245,220,51,5935,121,35,7336,80,2,33,12,SA,1.442377673354073,0.14030612244897958,21.58627751942289,2.3057378273073437
75,MEK Hussey ,2004,185,157,44,5442,109,48,6243,87,3,39,3,AUS,1.2694458882931339,0.2487244897959184,21.525083059563702,2.282903202870978
50,GW Flower ,1992,221,214,18,6571,142,33,9723,67,6,40,18,ZIM,1.6251696541395608,0.5102040816326532,20.015816726766143,2.2450122233383505
88,DA Warner ,2009,116,114,5,4990,179,45,5222,95,17,20,2,AUS,0.6221699330124812,0.7227891156462586,21.552179566306698,2.2309283564636675
86,A Symonds ,1998,198,161,33,5088,156,39,5504,92,6,30,15,AUS,0.9735786833009825,0.3826530612244899,21.28148728250164,2.2236342515586935
60,DM Jones ,1984,164,161,25,6068,145,44,8362,72,7,46,6,AUS,1.3807410667054043,0.6845238095238095,19.863012432868118,2.209495742684571
90,Q de Kock ,2013,115,115,6,4907,178,45,5154,95,14,24,3,SA,0.6087284184987952,0.7142857142857142,21.19369641921182,2.1937359821507942
67,CL Hooper ,1987,227,206,43,5761,113,35,7517,76,7,29,7,WI,1.3689350135845797,0.4315476190476191,19.90574853410708,2.175832857258824
66,RR Sarwan ,2000,181,169,33,5804,120,42,7663,75,5,38,8,WI,1.333774527569547,0.4039115646258504,19.790451988636867,2.1546198943402346
79,G Gambhir ,2003,147,143,11,5238,150,39,6144,85,11,34,11,INDIA,0.805434944230113,0.7950680272108844,20.241908887895228,2.15289279058301
71,MN Samuels ,2000,207,196,26,5606,133,32,7463,75,10,30,11,WI,1.1326414168519883,0.6377551020408165,19.1153125169363,2.0867373601804355
116,JC Buttler ,2012,142,117,23,3843,150,40,3207,119,9,20,12,ENG,0.41642794124318305,0.3826530612244899,20.791431500315753,2.0737556611573473
78,DR Martyn ,1992,208,182,51,5346,144,40,6877,77,5,37,10,AUS,1.3109651870783097,0.3932823129251701,18.71486615553976,2.048387821475533
55,RB Richardson ,1983,224,217,30,6248,122,33,9801,63,5,44,8,WI,1.6605463030440801,0.4676870748299321,17.8956969298764,2.0476031098435783
84,JP Duminy ,2004,199,179,40,5117,150,36,6052,84,4,27,7,SA,0.9931810128374927,0.2295918367346939,19.541673322701143,2.043315421239299
72,WJ Cronje ,1992,188,175,31,5565,112,38,7277,76,2,39,8,SA,1.1905273475685794,0.16581632653061226,19.22851772128205,2.0419957559889292
76,IR Bell ,2004,161,157,14,5416,141,37,7019,77,4,35,6,ENG,0.9566624925057854,0.2976190476190477,18.95991677860145,1.9916774179629468
69,H Masakadza ,2001,209,208,4,5658,178,27,7728,73,5,34,15,ZIM,0.9992082484498575,0.36139455782312935,18.77815195652341,1.9915830598629138
87,Abdul Razzaq ,1996,265,228,57,5080,112,29,6252,81,3,23,14,PAK,1.1020027849718492,0.1466836734693878,18.707500997666664,1.9741015965508149
61,DC Boon ,1984,181,177,16,5964,122,37,9157,65,5,37,6,AUS,1.4040715556859826,0.3932823129251701,17.62455000669646,1.9639267430374203
89,CL Cairns ,1991,215,193,25,4950,115,29,5874,84,4,26,9,NZ,0.8392812317088071,0.22108843537414966,18.903905207615917,1.953789185194256
96,AJ Finch ,2013,119,115,2,4559,153,40,5093,89,15,24,11,AUS,0.5534488288267482,0.7653061224489794,18.447038099796455,1.933965019876863
64,Rameez Raja ,1985,198,197,15,5841,119,32,9226,63,9,31,15,PAK,1.3390335319223114,0.5931122448979591,16.729956108740087,1.8962044553950435
85,PD Collingwood ,2001,197,181,37,5092,120,35,6614,76,5,26,7,ENG,1.0446001989886569,0.276360544217687,17.594180096454302,1.877541978538064
94,MV Boucher ,1998,295,221,57,4686,147,28,5528,84,1,26,16,SA,1.0476957786530328,0.05527210884353741,17.8956969298764,1.8753069437123009
77,A Jadeja ,1992,196,179,36,5359,119,37,7677,69,6,30,10,INDIA,1.2752333854702844,0.3826530612244899,16.811245628969086,1.8623865626179523
98,KP Pietersen ,2004,136,125,16,4440,130,40,5128,86,9,25,7,ENG,0.6375343279745567,0.4783163265306123,17.35994989051482,1.807904285379689
83,Misbah-ul-Haq ,2002,162,149,31,5122,96,43,6945,73,0,42,6,PAK,1.1069509558843156,0.0,16.999239010483016,1.7948860513144391
103,ME Trescothick ,2000,123,122,6,4335,137,37,5087,85,12,21,13,ENG,0.5286705158533851,0.5357142857142858,16.75232436598431,1.738843184696506
80,ADR Campbell ,1992,188,184,14,5185,131,30,7834,66,7,30,11,ZIM,1.0118315718072353,0.4464285714285715,15.558214047855323,1.7050517082608012
82,CG Greenidge ,1975,128,127,13,5134,133,45,7908,64,11,31,3,WI,1.0405062502179128,0.7249149659863945,14.938358724140473,1.691526741301948
97,SB Styris ,1999,188,161,23,4483,141,32,5645,79,4,28,9,NZ,0.7777093657189132,0.2380952380952382,16.101371709027493,1.6828564229047684
92,CD McMillan ,1997,197,183,16,4707,117,28,6198,75,3,28,9,NZ,0.7831184799917383,0.17857142857142863,16.04990653179079,1.6707181512223366
137,JJ Roy ,2015,84,81,2,3381,180,42,3148,107,9,18,7,ENG,0.252652677122016,0.34438775510204084,16.447352273313104,1.6319712639442419
107,PR Stirling ,2008,114,111,2,4038,177,37,4627,87,8,23,10,IRE,0.4453910286981252,0.391156462585034,15.97175402324848,1.6301058138040405
93,MD Crowe ,1982,143,140,18,4704,107,38,6476,72,4,34,3,NZ,0.8045269173517067,0.2891156462585035,15.398090060021694,1.6293160986558877
119,N Kapil Dev ,1978,225,198,39,3783,175,23,3979,95,1,14,13,INDIA,0.47196695401020683,0.029761904761904757,16.33905717421608,1.618742535951265
102,E Chigumbura ,2004,213,198,26,4340,117,25,5423,80,2,19,17,ZIM,0.6617245876383798,0.08078231292517007,15.785079095921711,1.6095937383496841
81,RS Mahanama ,1986,213,198,23,5162,119,29,8521,60,4,35,15,SL,1.2061080665810984,0.2976190476190477,14.081090718861958,1.582505169120945
105,AJ Strauss ,2003,127,126,8,4205,158,35,5195,80,6,27,9,ENG,0.5274556385126212,0.34438775510204084,15.29406857104857,1.5755758609090098
160,GJ Maxwell ,2012,110,100,11,2877,102,32,2332,123,1,19,9,AUS,0.18726940054220442,0.04039115646258504,16.08836902290585,1.5436200682837913
95,AJ Stewart ,1989,170,162,14,4677,116,31,6841,68,4,28,13,ENG,0.8251440774352061,0.2380952380952382,14.459168823014275,1.5383049797046855
117,SPD Smith ,2010,118,104,12,3810,164,41,4414,86,8,23,5,AUS,0.4874879053306281,0.391156462585034,14.89671375740123,1.5375412200385463
91,Aamer Sohail ,1990,156,155,5,4780,134,31,7297,65,5,31,10,PAK,0.8072341681784024,0.32950680272108845,14.125645377600447,1.516610501907257
120,Wasim Akram ,1984,356,280,55,3717,86,16,4208,88,0,6,28,PAK,0.5502827067091417,0.0,14.871072096657857,1.4920657428939803
99,NS Sidhu ,1987,136,127,8,4413,134,37,6329,69,6,33,7,INDIA,0.7278340785139716,0.4209183673469388,13.843632573360809,1.488239343633992
127,L Klusener ,1996,171,137,50,3576,103,41,3977,89,2,19,13,SA,0.638190253070038,0.08078231292517007,14.4695346007616,1.4822988118287828
110,Mahmudullah ,2007,185,160,42,3994,128,33,5222,76,3,21,8,BDESH,0.7300127214013113,0.13392857142857145,13.800305440934503,1.4443830366443224
100,CZ Harris ,1990,250,213,62,4379,130,29,6583,66,1,16,12,NZ,1.0944174222030476,0.034013605442176874,13.139714429230176,1.4367549381324878
128,SM Pollock ,1996,303,205,72,3519,130,26,4059,86,1,14,20,SA,0.7337720079330977,0.029761904761904757,13.75893325782019,1.4266236125415506
109,AJ Lamb ,1982,122,118,16,4010,118,39,5308,75,4,26,8,ENG,0.5766903569589956,0.22108843537414966,13.67327919959232,1.416083294219344
121,SC Williams ,2005,131,127,18,3717,129,34,4546,81,3,31,7,ZIM,0.46260838327619314,0.19770408163265307,13.688145907150982,1.3928802886388525
131,KJ O'Brien ,2006,142,130,17,3490,142,30,3922,88,2,18,5,IRE,0.3819528497557914,0.07653061224489796,13.962884481392498,1.3864966679192325
152,DA Miller ,2010,126,110,31,3058,139,38,3054,100,5,12,8,SA,0.33398306063886385,0.12755102040816324,13.902872083908003,1.3790771471833088
106,K Srikkanth ,1981,146,145,4,4091,123,29,5702,71,4,27,11,INDIA,0.552020252056842,0.2295918367346939,13.20550074677568,1.368965796703458
111,RP Arnold ,1997,180,155,43,3950,103,35,5443,72,1,28,7,SL,0.785093185199339,0.059523809523809534,12.929943821659373,1.3629390016493237
135,A Flintoff ,1999,141,122,16,3394,123,32,3821,88,3,18,9,ENG,0.3941094509813478,0.11479591836734696,13.57880513749173,1.3582495200475397
139,Babar Azam ,2015,74,72,10,3359,125,54,3857,87,11,15,2,PAK,0.3500483676264512,0.35076530612244894,13.286062844004864,1.3557355602886654
115,GA Hick ,1991,120,118,15,3846,126,37,5191,74,5,27,10,ENG,0.526212926372263,0.2869897959183674,12.939218464906979,1.3473111084648794
108,WTS Porterfield ,2006,136,133,3,4037,139,31,5818,69,11,17,9,IRE,0.5605714524416686,0.39753401360544216,12.664116179165553,1.3435211729350631
161,JM Bairstow ,2011,74,68,8,2861,141,47,2749,104,9,11,5,ENG,0.21714871106137165,0.21045918367346939,13.527521816004983,1.3338006567957654
122,RS Kaluwitharana ,1990,189,181,14,3711,102,22,4776,77,2,23,24,SL,0.4547855383255768,0.0977891156462585,12.991183745456052,1.3123076291605662
104,GA Gooch ,1976,125,122,6,4290,142,36,6932,61,8,23,4,ENG,0.7124338367504339,0.391156462585034,11.897457801301131,1.2993803660047498
114,DJ Cullinan ,1993,138,133,16,3860,124,32,5492,70,3,23,10,SA,0.5543229658581711,0.1466836734693878,12.284355909326168,1.2717250660778987
123,Imran Khan ,1974,175,151,40,3709,102,33,5105,72,1,19,6,PAK,0.6748709473705963,0.04039115646258504,12.141053578363193,1.2659661946599234
126,LD Chandimal ,2010,146,132,21,3599,111,32,4855,74,4,22,11,SL,0.5186435876071978,0.18707482993197283,12.108228615496676,1.2542649862296549
145,Umar Akmal ,2009,121,110,17,3194,102,34,3712,86,2,20,8,PAK,0.34868232130790794,0.08503401360544219,12.4882162050235,1.2437089170357143
101,GR Marsh ,1986,117,115,6,4357,126,39,7790,55,9,22,4,AUS,0.8113754292015589,0.4209183673469388,10.894750659997692,1.2283644682370176
142,Kamran Akmal ,2002,157,138,14,3236,124,26,3855,83,5,10,10,PAK,0.35998476946072433,0.10629251700680271,12.211068042095103,1.2229085037407708
125,NV Knight ,1996,100,100,10,3637,125,40,5085,71,5,25,6,ENG,0.4636048184510767,0.26573129251700683,11.740016185779309,1.2206053720412442
141,Moin Khan ,1990,219,183,41,3266,72,23,4017,81,0,12,17,PAK,0.4637115990966661,0.0,12.027302806767581,1.2102267452780318
133,SO Tikolo ,1996,135,130,12,3428,111,29,4524,75,3,24,13,KENYA,0.40475031038218956,0.15306122448979592,11.688778328230045,1.1890339965070353
148,BJ Haddin ,2001,126,115,16,3122,110,31,3706,84,2,16,2,AUS,0.33062745928167114,0.06802721088435375,11.922826678419575,1.1851338756665972
124,PV Simmons ,1987,143,138,11,3675,122,28,5407,67,5,18,14,WI,0.49495366364625254,0.19132653061224494,11.194358008045286,1.1650610365091725
151,DS Lehmann ,1996,117,101,22,3078,119,38,3784,81,4,17,4,AUS,0.38402059088163826,0.14455782312925172,11.334977966696455,1.150917362671646
153,GJ Bailey ,2012,90,85,10,3044,156,40,3645,83,3,22,3,AUS,0.29875097311288207,0.1403061224489796,11.486554734282294,1.148550105450295
170,MDKJ Perera ,2013,98,93,5,2739,135,31,2945,93,5,14,8,SL,0.20388276989897164,0.1488095238095238,11.58089240457042,1.1408295611273096
143,AN Cook ,2006,92,92,4,3204,137,36,4154,77,5,19,7,ENG,0.31330850423163553,0.20195578231292519,11.216317089852112,1.1346634437807064
132,Mohammad Ashraful ,2001,177,169,13,3468,109,22,4947,70,3,20,14,BDESH,0.4410004746972968,0.1275510204081633,11.036825464648485,1.1313269749909778
176,BA Stokes ,2011,95,81,15,2682,102,40,2855,93,3,20,5,ENG,0.24714723464282048,0.1275510204081633,11.339888071945188,1.123419568947649
112,AP Gurusinha ,1985,147,143,5,3902,117,28,6409,60,2,22,12,SL,0.6032022553251127,0.09353741496598639,10.644017044749972,1.1201703012106587
156,DJ Bravo ,2004,164,141,24,2968,112,25,3606,82,2,10,11,WI,0.3383102323375558,0.04251700680272108,11.06483125014125,1.1028409027202122
130,DB Vengsarkar ,1976,129,120,19,3508,105,34,5179,67,1,23,7,INDIA,0.5189154431188665,0.04889455782312925,10.685662011489216,1.1020568786868312
134,HH Dippenaar ,1999,107,95,14,3421,125,42,5047,67,4,26,4,SA,0.5173092669742133,0.22108843537414966,10.420652719870183,1.1011291436550255
146,DI Gower ,1978,114,111,8,3170,158,30,4218,75,7,12,6,ENG,0.329206249869805,0.17857142857142855,10.809051137832334,1.0963102629460202
118,HP Tillakaratne ,1986,200,168,40,3789,104,29,6588,57,2,13,10,SL,0.8753192161123678,0.05527210884353741,9.818982971150632,1.0885759317712504
144,HDRL Thirimanne ,2010,127,106,14,3194,139,34,4419,72,4,21,7,SL,0.43584820494413457,0.17857142857142863,10.455250776298744,1.0831832568208053
171,Mohammad Shahzad ,2009,84,84,3,2727,131,33,3082,88,6,14,4,AFG,0.19435085904407756,0.17857142857142855,10.910253862681188,1.0805682891629202
136,T Taibu ,2001,150,137,21,3393,107,29,5020,67,2,22,16,ZIM,0.49940142978685864,0.09353741496598639,10.335362373142218,1.0719417853090394
208,NLTC Perera ,2009,161,128,16,2210,140,19,1979,111,1,10,11,SL,0.1385100148273606,0.02125850340136054,11.152758505243535,1.0707455398360504
113,JG Wright ,1978,149,148,1,3891,101,26,6804,57,1,24,9,NZ,0.6027832368365987,0.0510204081632653,10.08331030370734,1.0617530612872874
166,Mohammad Nabi ,2009,124,112,12,2782,116,27,3252,85,1,15,6,AFG,0.24864584736009238,0.031887755102040824,10.750857297847372,1.055267233096969
140,AC Parore ,1992,179,161,32,3314,108,25,4867,68,1,14,19,NZ,0.49863545478065757,0.029761904761904757,10.245389240852964,1.0544565725721826
157,AM Rahane ,2011,90,87,3,2962,111,35,3767,78,3,24,6,INDIA,0.270156529835857,0.15306122448979592,10.5038062615362,1.0531868259241257
154,SD Hope ,2016,72,67,10,3007,170,52,4046,74,8,15,4,WI,0.34391361463269293,0.2551020408163266,10.116544442011254,1.0450886052067092
190,AD Hales ,2014,70,67,3,2419,171,37,2527,95,6,14,5,ENG,0.148531256394061,0.17857142857142855,10.44784015448816,1.028808826712557
167,SE Marsh ,2008,73,72,4,2773,151,40,3406,81,7,15,3,AUS,0.22583899335219343,0.22321428571428573,10.211791391049145,1.0274571365741605
158,HH Streak ,1993,189,159,55,2943,79,28,4008,73,0,13,6,ZIM,0.4857417033372309,0.0,9.767426866038953,1.0032258823692497
163,IJL Trott ,2009,68,65,10,2819,137,51,3658,77,4,22,5,ENG,0.2877732873116579,0.18707482993197283,9.86853866301283,1.0018981276337624
194,KA Pollard ,2007,107,99,7,2398,119,26,2547,94,3,10,13,WI,0.16161064223709679,0.06377551020408162,10.248117077102261,0.9965081975360945
182,Zaheer Abbas ,1974,62,60,6,2572,123,47,3033,84,7,13,2,PAK,0.20019899878709346,0.19345238095238093,9.822392766462253,0.9821185455559127
129,MA Taylor ,1989,113,110,1,3514,105,32,5909,59,1,28,4,AUS,0.4875776489607505,0.059523809523809534,9.425856303689702,0.9800005320649083
177,Sikandar Raza ,2013,97,93,15,2656,141,34,3249,81,3,14,1,ZIM,0.2441527719675416,0.08928571428571427,9.780929655472965,0.9718605415624092
172,Salman Butt ,2004,78,78,4,2725,136,36,3572,76,8,14,15,PAK,0.2279641077787753,0.23809523809523805,9.415581453817357,0.9555577517430374
164,AL Logie ,1981,158,133,36,2809,109,28,3801,73,1,14,13,WI,0.38469571715401096,0.029761904761904757,9.322698629528855,0.9469706488591222
185,TWM Latham ,2012,95,88,9,2550,137,32,3096,82,4,15,7,NZ,0.21440780061763143,0.1275510204081633,9.506509328793864,0.9460288417588969
188,JDP Oram ,2001,160,116,15,2434,101,24,2810,86,1,13,8,NZ,0.2468746423953477,0.027636054421768703,9.516693250791235,0.9390452659719966
175,RS Bopara ,2007,120,109,21,2695,101,30,3462,77,1,14,4,ENG,0.2845490091115248,0.029761904761904757,9.434448987874983,0.9386989820910862
147,KR Rutherford ,1985,121,115,9,3143,108,29,4888,64,2,18,6,NZ,0.39162665132193347,0.07653061224489796,9.145161953637224,0.9382338744470735
193,KJ Coetzer ,2008,59,57,2,2409,156,43,2795,86,4,17,5,SCOT,0.16048707409003876,0.14455782312925172,9.41894578519149,0.9301573195221384
173,RG Twose ,1995,87,81,11,2717,103,38,3603,75,1,20,5,NZ,0.2710866357653885,0.042517006802721094,9.264413861668913,0.9220864148007473
149,RJ Shastri ,1981,150,128,21,3108,109,29,5089,61,4,18,5,INDIA,0.5062657123875145,0.15306122448979592,8.619416980523058,0.9212622286240068
168,M Kaif ,2002,125,110,24,2753,111,32,3822,72,2,17,8,INDIA,0.34915972610888735,0.07227891156462585,9.01167983317171,0.9172337288416024
162,DM Bravo ,2009,110,105,13,2839,124,30,4045,70,3,18,8,WI,0.30452859342566063,0.11479591836734696,9.035048297040673,0.9170358386834786
150,SM Gavaskar ,1974,108,102,14,3092,103,35,4966,62,1,27,8,INDIA,0.4281740424879591,0.05739795918367347,8.715618672248201,0.9022535087211838
203,Sarfaraz Ahmed ,2007,116,90,22,2302,105,33,2622,87,2,11,1,PAK,0.22909007031719625,0.046768707482993194,9.105244616522537,0.8999660451373293
138,KC Wessels ,1983,109,105,7,3367,107,34,6088,55,1,26,0,AUS,0.5146821591891944,0.05527210884353741,8.419239263762275,0.890431062208853
159,WW Hinds ,1999,119,111,10,2880,127,28,4393,65,5,14,8,WI,0.3341665999460304,0.1488095238095238,8.510849097801106,0.8783691612306561
219,RL Powell ,1999,109,100,16,2085,124,24,2157,96,1,8,8,WI,0.12872026946406726,0.017006802721088433,9.100061727648876,0.8765583030409029
