,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
88,Kuldeep Yadav,14,7,6,48,16,48.0,52,92.3,0,0,3,2
89,Priyam Garg,2,2,0,46,42,23.0,33,139.39,0,0,4,2
90,Ramandeep Singh,5,4,2,45,14,22.5,40,112.5,0,0,3,1
91,Dwaine Pretorius,6,5,1,44,22,11.0,28,157.14,0,0,3,3
92,Dushmantha Chameera,12,8,4,43,17,10.75,28,153.57,0,0,3,3
93,Harshal Patel,15,8,3,43,11,8.6,39,110.25,0,0,4,2
94,Hrithik Shokeen,5,3,1,43,25,21.5,48,89.58,0,0,5,0
95,Trent Boult,16,8,6,40,17,20.0,29,137.93,0,0,2,1
96,Jagadeesan Narayan,2,2,1,40,39,40.0,37,108.1,0,0,3,1
97,Daniel Sams,11,10,3,38,15,5.43,36,105.55,0,0,1,3
98,Wanindu Hasaranga,16,7,0,38,18,5.43,43,88.37,0,0,4,1
99,Rishi Dhawan,6,4,2,37,21,18.5,40,92.5,0,0,4,2
100,Daryl Mitchell,2,2,0,33,17,16.5,44,75.0,0,0,1,0
101,Sherfane Rutherford,3,2,0,33,28,16.5,50,66.0,0,0,1,1
102,James Neesham,2,2,0,31,17,15.5,27,114.81,0,0,3,0
103,Mohammed Siraj,15,5,3,30,14,15.0,33,90.9,0,0,5,0
104,Tim Seifert,2,2,0,24,21,12.0,19,126.31,0,0,4,0
105,Bhuvneshwar Kumar,14,6,3,24,8,8.0,26,92.3,0,0,3,0
106,Mohsin Khan,9,3,2,23,13,23.0,16,143.75,0,0,2,1
107,Dwayne Bravo,10,6,4,23,12,11.5,24,95.83,0,0,1,1
108,Sheldon Jackson,5,5,1,23,8,5.75,26,88.46,0,0,0,1
109,Avesh Khan,13,4,3,22,12,22.0,13,169.23,0,0,0,3
110,Rassie van der Dussen,3,3,1,22,12,11.0,24,91.66,0,0,2,0
111,Harpreet Brar,5,3,0,22,14,7.33,25,88.0,0,0,1,2
112,Mitchell Santner,6,4,2,22,11,11.0,27,81.48,0,0,3,0
113,Arshdeep Singh,14,6,3,21,10,7.0,29,72.41,0,0,3,0
114,B Indrajith,3,3,0,21,15,7.0,30,70.0,0,0,2,0
115,Manan Vohra,2,1,0,19,19,19.0,11,172.72,0,0,1,2
116,Vijay Shankar,4,4,0,19,13,4.75,35,54.28,0,0,1,0
117,Mandeep Singh,3,3,0,18,18,6.0,23,78.26,0,0,4,0
118,Josh Hazlewood,12,5,5,18,7,0.0,26,69.23,0,0,1,0
119,David Willey,4,2,0,18,18,9.0,30,60.0,0,0,3,0
120,Karun Nair,3,2,0,16,13,8.0,18,88.88,0,0,1,0
121,Simran Singh,1,1,0,14,14,14.0,11,127.27,0,0,2,0
122,Anmolpreet Singh,2,2,0,13,8,6.5,13,100.0,0,0,1,0
123,Murugan Ashwin,8,5,2,12,6,4.0,14,85.71,0,0,1,1
124,Varun Chakaravarthy,11,4,4,12,10,0.0,18,66.66,0,0,2,0
125,Chris Jordan,4,2,1,11,6,11.0,8,137.5,0,0,0,0
126,Rajangad Bawa,2,2,0,11,11,5.5,14,78.57,0,0,1,0
127,Shreyas Gopal,1,1,1,9,9,0.0,7,128.57,0,0,2,0
128,Marco Jansen,8,3,2,9,8,9.0,7,128.57,0,0,0,1
129,Obed McCoy,7,1,0,8,8,8.0,5,160.0,0,0,0,1
130,Srikar Bharat,2,2,0,8,8,4.0,7,114.28,0,0,2,0
131,Fabian Allen,1,1,0,8,8,8.0,7,114.28,0,0,1,0
132,Sean Abbott,1,1,0,7,7,7.0,5,140.0,0,0,0,1
133,Rasikh Salam,2,1,0,7,7,7.0,6,116.66,0,0,1,0
134,Kartik Tyagi,2,2,0,7,7,3.5,6,116.66,0,0,1,0
135,Maheesh Theekshana,9,2,1,7,7,7.0,7,100.0,0,0,0,1
136,Simarjeet Singh,6,3,2,7,3,7.0,8,87.5,0,0,0,0
137,Ripal Patel,2,1,0,6,6,6.0,3,200.0,0,0,0,1
138,Mukesh Choudhary,13,2,1,6,4,6.0,6,100.0,0,0,1,0
139,Prasidh Krishna,17,3,2,6,4,6.0,12,50.0,0,0,0,0
140,Aman Khan,1,1,0,5,5,5.0,3,166.66,0,0,1,0
141,Lockie Ferguson,13,3,1,5,5,2.5,4,125.0,0,0,1,0
142,Alzarri Joseph,9,3,2,5,4,5.0,7,71.42,0,0,0,0
143,Yuzvendra Chahal,17,2,1,5,5,5.0,8,62.5,0,0,0,0
144,Vaibhav Arora,5,4,2,5,2,2.5,13,38.46,0,0,0,0
145,Prerak Mankad,1,1,1,4,4,0.0,1,400.0,0,0,1,0
146,Karan Sharma,1,1,0,4,4,4.0,4,100.0,0,0,1,0
147,Abdul Samad,2,2,0,4,4,2.0,7,57.14,0,0,0,0
148,Abhijeet Tomar,1,1,0,4,4,4.0,8,50.0,0,0,1,0
149,Umran Malik,14,4,3,4,3,4.0,8,50.0,0,0,0,0
150,Mustafizur Rahman,8,1,1,3,3,0.0,5,60.0,0,0,0,0
151,Kumar Kartikeya Singh,4,1,0,3,3,3.0,5,60.0,0,0,0,0
152,Shivam Mavi,6,3,1,3,2,1.5,7,42.85,0,0,0,0
153,Harshit Rana,2,2,1,2,2,2.0,2,100.0,0,0,0,0
154,Navdeep Saini,2,1,0,2,2,2.0,2,100.0,0,0,0,0
155,Tristan Stubbs,2,2,0,2,2,1.0,4,50.0,0,0,0,0
156,Pradeep Sangwan,3,1,0,2,2,2.0,5,40.0,0,0,0,0
157,Fazalhaq Farooqi,3,1,1,2,2,0.0,8,25.0,0,0,0,0
158,Jagadeesha Suchith,5,2,0,2,2,1.0,8,25.0,0,0,0,0
159,Tim Southee,9,5,1,2,1,0.5,12,16.66,0,0,0,0
160,Nathan Coulter-Nile,1,1,1,1,1,0.0,2,50.0,0,0,0,0
161,Anrich Nortje,6,1,1,1,1,0.0,6,16.66,0,0,0,0
